1,Timebands,Digi 24,Antena 3 CNN,B1TV,Realitatea Plus,Romania TV
2,02:00 - 02:15,0,0.04,0.09,0.12,0.71
3,02:15 - 02:30,0.01,0.13,0.19,0.13,0.72
4,02:30 - 02:45,0,0.13,0.15,0.08,0.78
5,02:45 - 03:00,0,0.13,0.15,0,0.77
6,03:00 - 03:15,0,0.13,0.15,0,0.71
7,03:15 - 03:30,0,0.13,0.15,0,0.71
8,03:30 - 03:45,0,0.13,0.15,0,0.71
9,03:45 - 04:00,0,0.18,0.15,0,0.71
10,04:00 - 04:15,0,0.19,0.15,0,0.71
11,04:15 - 04:30,0,0.08,0.15,0,0.51
12,04:30 - 04:45,0,0.08,0.15,0.01,0.46
13,04:45 - 05:00,0,0.08,0.15,0.07,0.46
14,05:00 - 05:15,0,0.08,0.15,0.07,0.46
15,05:15 - 05:30,0,0.08,0.15,0.08,0.46
16,05:30 - 05:45,0.02,0.08,0.17,0.07,0.26
17,05:45 - 06:00,0.13,0.08,0.15,0.12,0.09
18,>>> 2:00 - 6:00,0.01,0.11,0.15,0.05,0.58
19,06:00 - 06:15,0.31,0.14,0.14,0.05,0.09
20,06:15 - 06:30,0.27,0.2,0,0,0.09
21,06:30 - 06:45,0.26,0.12,0.02,0,0.16
22,06:45 - 07:00,0.17,0.2,0,0,0.09
23,07:00 - 07:15,0.19,0.2,0,0.03,0.09
24,07:15 - 07:30,0.26,0.23,0.02,0.02,0.43
25,07:30 - 07:45,0.34,0.29,0.01,0,0.52
26,07:45 - 08:00,0.34,0.29,0.01,0.02,0.71
27,08:00 - 08:15,0.38,0.31,0.01,0.04,0.9
28,08:15 - 08:30,0.39,0.29,0,0.02,0.96
29,08:30 - 08:45,0.42,0.3,0.08,0,0.49
30,08:45 - 09:00,0.44,0.42,0.24,0.01,0.71
31,>>> 6:00 - 9:00,0.31,0.25,0.04,0.02,0.44
32,09:00 - 09:15,0.4,0.32,0.24,0.09,1.05
33,09:15 - 09:30,0.23,0.33,0.14,0.13,1.1
34,09:30 - 09:45,0.14,0.27,0.06,0.27,0.78
35,09:45 - 10:00,0.17,0.28,0,0.28,0.7
36,10:00 - 10:15,0.31,0.22,0.03,0.31,0.69
37,10:15 - 10:30,0.25,0.46,0.05,0.34,0.68
38,10:30 - 10:45,0.33,0.31,0.02,0.2,0.82
39,10:45 - 11:00,0.02,0.19,0,0.19,0.71
40,11:00 - 11:15,0.28,0.57,0.02,0.19,0.47
41,11:15 - 11:30,0.55,0.61,0.02,0.17,0.45
42,11:30 - 11:45,0.57,0.42,0.04,0.28,0.29
43,11:45 - 12:00,0.58,0.55,0.1,0.28,0.25
44,>>> 9:00 - 12:00,0.32,0.38,0.06,0.23,0.67
45,12:00 - 12:15,0.66,0.38,0.22,0.11,0.59
46,12:15 - 12:30,0.59,0.62,0.07,0.24,0.56
47,12:30 - 12:45,0.95,0.61,0.03,0.2,0.52
48,12:45 - 13:00,0.82,0.78,0.03,0.14,0.63
49,13:00 - 13:15,0.77,0.75,0,0.07,0.79
50,13:15 - 13:30,0.92,0.78,0.04,0.09,0.81
51,13:30 - 13:45,0.81,0.55,0.16,0.28,1
52,13:45 - 14:00,1.01,0.68,0.01,0.21,0.84
53,14:00 - 14:15,0.92,0.78,0.04,0.11,0.7
54,14:15 - 14:30,0.84,0.8,0.01,0.09,0.95
55,14:30 - 14:45,0.71,0.65,0.01,0.21,1.34
56,14:45 - 15:00,0.62,0.82,0.06,0.09,1.11
57,>>> 12:00 - 15:00,0.8,0.68,0.06,0.15,0.82
58,15:00 - 15:15,0.73,0.64,0,0.24,0.98
59,15:15 - 15:30,0.68,0.7,0,0.36,0.97
60,15:30 - 15:45,0.82,0.6,0,0.4,1.13
61,15:45 - 16:00,0.61,0.91,0,0.45,0.79
62,>>> 15:00 - 16:00,0.71,0.71,0,0.36,0.97
63,16:00 - 16:15,0.6,0.98,0,0.62,0.56
64,16:15 - 16:30,0.56,1.15,0,0.62,0.76
65,16:30 - 16:45,0.81,1.24,0.05,0.46,0.84
66,16:45 - 17:00,0.6,1.28,0.03,0.48,0.61
67,17:00 - 17:15,0.54,1.18,0.05,0.25,0.45
68,17:15 - 17:30,0.52,1.1,0.01,0.15,0.5
69,17:30 - 17:45,0.45,1.28,0.09,0.23,0.57
70,17:45 - 18:00,0.6,1.16,0.09,0.26,0.43
71,18:00 - 18:15,0.63,1.03,0.12,0.39,0.37
72,18:15 - 18:30,0.56,1.19,0.21,0.48,0.55
73,18:30 - 18:45,0.67,1.14,0.21,0.53,0.58
74,18:45 - 19:00,0.7,0.7,0.2,0.83,0.56
75,>>> 16:00 - 19:00,0.6,1.12,0.09,0.44,0.57
76,19:00 - 19:15,0.5,0.56,0.07,0.77,0.65
77,19:15 - 19:30,0.24,0.86,0,0.71,0.78
78,19:30 - 19:45,0.29,0.91,0.02,0.58,0.69
79,19:45 - 20:00,0.43,0.81,0,0.74,0.86
80,>>> 19:00 - 20:00,0.37,0.79,0.02,0.7,0.74
81,20:00 - 20:15,0.9,0.95,0.01,0.62,0.86
82,20:15 - 20:30,0.98,0.79,0.01,0.62,1.06
83,20:30 - 20:45,0.66,0.63,0,0.55,0.81
84,20:45 - 21:00,0.63,0.76,0.02,0.55,0.52
85,21:00 - 21:15,0.82,0.76,0.23,0.6,0.93
86,21:15 - 21:30,0.89,0.99,0.18,0.65,0.99
87,21:30 - 21:45,1.19,1.18,0.21,0.56,1.12
88,21:45 - 22:00,1.24,1.3,0.07,0.67,0.54
89,22:00 - 22:15,1.21,1.27,0.12,0.66,0.44
90,22:15 - 22:30,1.13,1.28,0.27,0.64,0.27
91,22:30 - 22:45,0.83,1.71,0.07,0.61,0.48
92,22:45 - 23:00,0.46,0.82,0.08,0.6,0.28
93,>>> 20:00 - 23:00,0.91,1.04,0.11,0.61,0.69
94,23:00 - 23:15,0.23,0.69,0.19,0.77,0.71
95,23:15 - 23:30,0.23,0.7,0.2,0.68,0.75
96,23:30 - 23:45,0.33,0.44,0.25,0.4,0.59
97,23:45 - 24:00,0.28,0.5,0.19,0.39,0.61
98,24:00 - 24:15,0.25,0.4,0.1,0.32,0.43
99,24:15 - 24:30,0.19,0.5,0.07,0.28,0.8
100,24:30 - 24:45,0.1,0.4,0.08,0.28,0.57
101,24:45 - 25:00,0.08,0.1,0.1,0.28,0.7
102,>>> 23:00 - 25:00,0.21,0.47,0.15,0.42,0.65
103,25:00 - 25:15,0.21,0.1,0.07,0.53,0.35
104,25:15 - 25:30,0.1,0.02,0.07,0.6,0.31
105,25:30 - 25:45,0.05,0.06,0.07,0.61,0.31
106,25:45 - 26:00,0.16,0,0.02,0.64,0.31
107,>>> 25:00 - 26:00,0.13,0.05,0.06,0.59,0.32
108,Whole day,0.44,0.55,0.09,0.29,0.63
