Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,5.53,0.0,0.23,0.0,0.0,0.18,0.09
02:15 - 02:30,4.87,0.0,0.23,0.0,0.0,0.18,0.0
02:30 - 02:45,4.18,0.04,0.2,0.0,0.0,0.18,0.0
02:45 - 03:00,3.65,0.09,0.15,0.0,0.0,0.11,0.0
03:00 - 03:15,3.4,0.09,0.15,0.0,0.0,0.01,0.0
03:15 - 03:30,3.22,0.09,0.15,0.05,0.0,0.0,0.0
03:30 - 03:45,2.69,0.08,0.15,0.08,0.0,0.0,0.0
03:45 - 04:00,2.34,0.01,0.23,0.08,0.0,0.0,0.0
04:00 - 04:15,2.01,0.09,0.15,0.08,0.0,0.0,0.0
04:15 - 04:30,1.67,0.0,0.24,0.08,0.0,0.0,0.0
04:30 - 04:45,1.57,0.0,0.24,0.08,0.0,0.0,0.0
04:45 - 05:00,1.73,0.0,0.24,0.08,0.0,0.0,0.0
05:00 - 05:15,1.87,0.0,0.24,0.08,0.0,0.0,0.0
05:15 - 05:30,2.16,0.0,0.24,0.08,0.0,0.0,0.0
05:30 - 05:45,2.38,0.07,0.16,0.08,0.0,0.0,0.0
05:45 - 06:00,3.06,0.39,0.09,0.08,0.0,0.0,0.0
06:00 - 06:15,3.68,0.55,0.15,0.08,0.0,0.0,0.01
06:15 - 06:30,4.31,0.31,0.19,0.08,0.0,0.0,0.0
06:30 - 06:45,4.74,0.17,0.14,0.1,0.0,0.0,0.15
06:45 - 07:00,5.11,0.09,0.01,0.08,0.0,0.0,0.14
07:00 - 07:15,5.86,0.25,0.08,0.0,0.01,0.0,0.17
07:15 - 07:30,6.55,0.36,0.02,0.0,0.0,0.0,0.07
07:30 - 07:45,7.1,0.35,0.01,0.0,0.0,0.0,0.06
07:45 - 08:00,6.74,0.36,0.06,0.0,0.0,0.0,0.01
08:00 - 08:15,7.86,0.34,0.23,0.01,0.0,0.0,0.0
08:15 - 08:30,7.71,0.37,0.21,0.04,0.0,0.01,0.01
08:30 - 08:45,7.38,0.36,0.14,0.01,0.0,0.0,0.0
08:45 - 09:00,8.05,0.29,0.21,0.0,0.0,0.0,0.04
09:00 - 09:15,8.44,0.25,0.34,0.01,0.0,0.04,0.29
09:15 - 09:30,9.2,0.29,0.4,0.01,0.04,0.0,0.48
09:30 - 09:45,9.61,0.16,0.22,0.02,0.1,0.01,0.41
09:45 - 10:00,9.65,0.0,0.11,0.0,0.1,0.01,0.41
10:00 - 10:15,9.29,0.0,0.14,0.0,0.1,0.0,0.38
10:15 - 10:30,8.94,0.03,0.59,0.01,0.1,0.04,0.44
10:30 - 10:45,8.97,0.0,0.57,0.07,0.09,0.11,0.39
10:45 - 11:00,8.74,0.0,0.37,0.07,0.06,0.0,0.19
11:00 - 11:15,8.8,0.0,0.23,0.07,0.0,0.01,0.18
11:15 - 11:30,9.06,0.24,0.21,0.07,0.0,0.11,0.22
11:30 - 11:45,9.0,0.24,0.37,0.07,0.0,0.02,0.29
11:45 - 12:00,8.44,0.24,0.36,0.07,0.0,0.0,0.23
12:00 - 12:15,8.89,0.38,0.38,0.07,0.0,0.13,0.8
12:15 - 12:30,9.18,0.51,0.38,0.07,0.0,0.2,0.88
12:30 - 12:45,9.22,0.72,0.28,0.07,0.0,0.4,0.62
12:45 - 13:00,9.58,0.43,0.75,0.01,0.0,0.15,0.43
13:00 - 13:15,11.0,0.38,0.66,0.0,0.0,0.06,0.49
13:15 - 13:30,11.29,0.25,0.67,0.04,0.0,0.06,0.66
13:30 - 13:45,11.02,0.18,0.43,0.0,0.0,0.15,0.75
13:45 - 14:00,10.5,0.15,0.4,0.0,0.0,0.16,0.67
