Timebands,TTV,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,4.77,0.22,0.01,0.0,0.0,0.12,0.13
02:15 - 02:30,4.4,0.11,0.0,0.04,0.0,0.12,0.12
02:30 - 02:45,3.95,0.11,0.0,0.08,0.0,0.07,0.23
02:45 - 03:00,3.25,0.11,0.0,0.14,0.0,0.0,0.13
03:00 - 03:15,2.59,0.06,0.0,0.08,0.0,0.0,0.12
03:15 - 03:30,2.48,0.0,0.0,0.08,0.0,0.0,0.12
03:30 - 03:45,2.45,0.0,0.0,0.08,0.0,0.0,0.12
03:45 - 04:00,2.38,0.0,0.0,0.08,0.0,0.0,0.12
04:00 - 04:15,2.09,0.0,0.0,0.08,0.0,0.0,0.13
04:15 - 04:30,2.17,0.0,0.0,0.08,0.0,0.0,0.12
04:30 - 04:45,2.36,0.0,0.0,0.08,0.07,0.0,0.12
04:45 - 05:00,2.41,0.0,0.0,0.08,0.09,0.0,0.12
05:00 - 05:15,2.56,0.09,0.0,0.08,0.0,0.0,0.12
05:15 - 05:30,2.88,0.11,0.0,0.08,0.0,0.0,0.32
05:30 - 05:45,2.78,0.11,0.0,0.08,0.0,0.0,0.37
05:45 - 06:00,3.18,0.23,0.0,0.08,0.0,0.0,0.37
Medie 2-6,2.92,0.07,0.0,0.08,0.01,0.02,0.17
06:00 - 06:15,4.01,0.39,0.03,0.08,0.0,0.0,0.37
06:15 - 06:30,4.66,0.38,0.03,0.08,0.0,0.0,0.37
06:30 - 06:45,5.26,0.47,0.04,0.08,0.0,0.01,0.38
06:45 - 07:00,5.93,0.58,0.29,0.06,0.0,0.02,0.38
07:00 - 07:15,6.98,0.72,0.04,0.02,0.0,0.01,0.56
07:15 - 07:30,7.89,0.65,0.13,0.0,0.01,0.0,0.71
07:30 - 07:45,7.93,0.57,0.3,0.0,0.0,0.0,0.63
07:45 - 08:00,7.98,0.58,0.19,0.0,0.0,0.0,0.34
08:00 - 08:15,8.12,0.59,0.38,0.0,0.0,0.01,0.39
08:15 - 08:30,8.94,0.56,0.32,0.04,0.05,0.14,0.54
08:30 - 08:45,9.61,0.89,0.3,0.0,0.07,0.08,0.41
08:45 - 09:00,9.28,0.6,0.41,0.0,0.0,0.09,0.41
Medie 6-9,7.22,0.58,0.21,0.03,0.01,0.03,0.46
09:00 - 09:15,9.55,0.6,0.05,0.02,0.0,0.19,0.55
09:15 - 09:30,9.74,0.71,0.01,0.0,0.0,0.24,0.66
09:30 - 09:45,9.7,0.46,0.16,0.01,0.0,0.2,0.68
09:45 - 10:00,9.95,0.38,0.19,0.0,0.04,0.19,0.5
10:00 - 10:15,11.15,0.44,0.33,0.0,0.07,0.23,0.52
10:15 - 10:30,11.67,0.46,0.45,0.02,0.15,0.28,0.84
10:30 - 10:45,11.86,0.39,0.91,0.03,0.01,0.33,0.79
10:45 - 11:00,12.29,0.38,0.89,0.04,0.0,0.15,0.49
11:00 - 11:15,12.68,0.43,0.77,0.06,0.0,0.27,0.59
11:15 - 11:30,12.72,0.5,0.62,0.11,0.04,0.38,0.68
11:30 - 11:45,11.81,0.82,0.33,0.15,0.13,0.13,0.58
11:45 - 12:00,12.02,0.85,0.47,0.12,0.03,0.19,0.37
Medie 9-12,11.26,0.54,0.43,0.05,0.04,0.23,0.6
12:00 - 12:15,12.11,1.0,0.49,0.08,0.0,0.31,0.52
12:15 - 12:30,12.36,0.84,0.94,0.1,0.0,0.77,0.29
12:30 - 12:45,12.57,0.86,0.6,0.08,0.05,0.32,0.27
12:45 - 13:00,12.74,0.79,0.79,0.08,0.02,0.15,0.39
13:00 - 13:15,13.16,0.6,0.65,0.09,0.0,0.1,0.34
13:15 - 13:30,13.62,0.69,0.66,0.08,0.0,0.26,0.55
13:30 - 13:45,13.58,0.7,0.78,0.07,0.0,0.19,0.45
13:45 - 14:00,13.42,0.77,0.76,0.0,0.0,0.15,0.37
14:00 - 14:15,13.56,0.83,0.69,0.0,0.0,0.33,0.34
14:15 - 14:30,13.65,0.87,0.65,0.0,0.0,0.34,0.36
14:30 - 14:45,13.47,0.73,0.44,0.05,0.0,0.22,0.35
14:45 - 15:00,12.85,0.8,0.5,0.14,0.0,0.02,0.28
Medie 12-15,13.09,0.79,0.66,0.07,0.01,0.26,0.38
15:00 - 15:15,11.8,1.02,0.72,0.02,0.0,0.15,0.42
15:15 - 15:30,12.68,0.93,0.67,0.0,0.01,0.08,0.32
15:30 - 15:45,13.01,0.62,0.69,0.2,0.0,0.14,0.34
15:45 - 16:00,12.59,0.62,0.64,0.07,0.0,0.18,0.09
Medie 15-16,12.52,0.8,0.68,0.07,0.0,0.14,0.29
16:00 - 16:15,13.7,0.63,0.66,0.0,0.0,0.06,0.51
16:15 - 16:30,14.24,0.72,0.8,0.01,0.0,0.25,0.46
16:30 - 16:45,15.66,0.77,0.62,0.04,0.0,0.11,0.49
16:45 - 17:00,17.7,0.88,0.67,0.0,0.0,0.11,0.36
17:00 - 17:15,19.16,0.82,0.68,0.05,0.0,0.33,0.09
17:15 - 17:30,19.35,0.6,0.84,0.01,0.01,0.15,0.13
17:30 - 17:45,18.88,0.56,0.82,0.05,0.0,0.06,0.33
17:45 - 18:00,20.6,0.5,0.47,0.13,0.0,0.02,0.39
18:00 - 18:15,22.64,0.66,0.59,0.23,0.0,0.3,0.47
18:15 - 18:30,24.06,0.63,1.01,0.21,0.0,0.28,0.88
18:30 - 18:45,25.8,0.93,1.43,0.16,0.0,0.23,0.74
18:45 - 19:00,27.23,0.58,1.31,0.27,0.03,0.46,1.11
Medie 16-19,19.92,0.69,0.82,0.1,0.0,0.2,0.5
19:00 - 19:15,28.56,0.4,0.82,0.33,0.04,0.37,0.91
19:15 - 19:30,29.67,0.51,0.95,0.09,0.0,0.41,0.74
19:30 - 19:45,31.5,0.52,1.02,0.13,0.02,0.35,0.63
19:45 - 20:00,32.26,0.8,0.95,0.01,0.05,0.42,0.58
Medie 19-20,30.5,0.55,0.93,0.14,0.03,0.39,0.71
20:00 - 20:15,32.46,0.88,1.03,0.02,0.15,0.37,0.44
20:15 - 20:30,34.37,0.73,1.08,0.02,0.01,0.2,0.53
20:30 - 20:45,35.67,0.83,0.87,0.0,0.01,0.19,0.94
20:45 - 21:00,36.18,0.75,0.78,0.05,0.11,0.14,1.17
21:00 - 21:15,36.28,0.85,0.8,0.0,0.2,0.12,1.24
21:15 - 21:30,36.48,1.09,0.86,0.0,0.22,0.22,1.35
21:30 - 21:45,36.27,1.31,1.21,0.07,0.05,0.29,1.06
21:45 - 22:00,35.28,1.24,1.22,0.04,0.08,0.49,0.73
22:00 - 22:15,35.01,1.32,1.06,0.01,0.1,0.52,0.75
22:15 - 22:30,33.52,1.56,0.94,0.01,0.11,0.55,0.64
22:30 - 22:45,30.68,1.17,1.09,0.04,0.08,0.5,0.56
22:45 - 23:00,28.25,0.58,0.87,0.06,0.18,0.37,0.51
Medie 20-23,34.2,1.03,0.98,0.03,0.11,0.33,0.83
23:00 - 23:15,25.82,0.59,0.49,0.0,0.16,0.43,0.89
23:15 - 23:30,21.92,0.55,0.36,0.0,0.09,0.44,0.76
23:30 - 23:45,20.04,0.25,0.44,0.0,0.0,0.33,0.54
23:45 - 24:00,17.74,0.33,0.38,0.05,0.01,0.44,0.5
24:00 - 24:15,14.44,0.36,0.14,0.0,0.0,0.55,0.54
24:15 - 24:30,12.57,0.34,0.16,0.0,0.0,0.45,0.54
24:30 - 24:45,10.76,0.3,0.11,0.0,0.0,0.57,0.44
24:45 - 25:00,9.94,0.31,0.09,0.09,0.0,0.35,0.33
Medie 23-25,16.65,0.38,0.27,0.02,0.03,0.44,0.57
25:00 - 25:15,8.9,0.28,0.11,0.0,0.0,0.39,0.27
25:15 - 25:30,8.06,0.28,0.08,0.0,0.0,0.39,0.22
25:30 - 25:45,7.63,0.22,0.04,0.0,0.0,0.26,0.18
25:45 - 26:00,6.73,0.22,0.0,0.0,0.0,0.18,0.2
Medie 25-26,7.83,0.25,0.06,0.0,0.0,0.31,0.22
Whole day,14.7,0.56,0.48,0.06,0.03,0.21,0.47
